C,Kernel,Gamma,Accuracy
0.1,linear,scale,0.7364864864864865
0.1,linear,auto,0.7364864864864865
0.1,linear,0.001,0.7364864864864865
0.1,linear,0.01,0.7364864864864865
0.1,linear,0.1,0.7364864864864865
0.1,linear,1,0.7364864864864865
0.1,linear,10,0.7364864864864865
0.1,rbf,scale,0.8040540540540541
0.1,rbf,auto,0.8057432432432432
0.1,rbf,0.001,0.4560810810810811
0.1,rbf,0.01,0.722972972972973
0.1,rbf,0.1,0.793918918918919
0.1,rbf,1,0.8057432432432432
0.1,rbf,10,0.47466216216216217
0.1,poly,scale,0.6199324324324325
0.1,poly,auto,0.6216216216216216
0.1,poly,0.001,0.4560810810810811
0.1,poly,0.01,0.4560810810810811
0.1,poly,0.1,0.5540540540540541
0.1,poly,1,0.7516891891891891
0.1,sigmoid,scale,0.7162162162162162
0.1,sigmoid,auto,0.7162162162162162
0.1,sigmoid,0.001,0.4560810810810811
0.1,sigmoid,0.01,0.7212837837837838
0.1,sigmoid,0.1,0.7331081081081081
0.1,sigmoid,1,0.5523648648648649
0.1,sigmoid,10,0.5320945945945946
1.0,linear,scale,0.7381756756756757
1.0,linear,auto,0.7381756756756757
1.0,linear,0.001,0.7381756756756757
1.0,linear,0.01,0.7381756756756757
1.0,linear,0.1,0.7381756756756757
1.0,linear,1,0.7381756756756757
1.0,linear,10,0.7381756756756757
1.0,rbf,scale,0.8108108108108109
1.0,rbf,auto,0.8108108108108109
1.0,rbf,0.001,0.7246621621621622
1.0,rbf,0.01,0.7466216216216216
1.0,rbf,0.1,0.8040540540540541
1.0,rbf,1,0.8260135135135135
1.0,rbf,10,0.7871621621621622
1.0,poly,scale,0.7533783783783784
1.0,poly,auto,0.75
1.0,poly,0.001,0.4560810810810811
1.0,poly,0.01,0.4560810810810811
1.0,poly,0.1,0.7094594594594594
1.0,poly,1,0.7466216216216216
1.0,sigmoid,scale,0.6503378378378378
1.0,sigmoid,auto,0.6570945945945946
1.0,sigmoid,0.001,0.7212837837837838
1.0,sigmoid,0.01,0.7331081081081081
1.0,sigmoid,0.1,0.6773648648648649
1.0,sigmoid,1,0.5506756756756757
1.0,sigmoid,10,0.5236486486486487
10.0,linear,scale,0.7381756756756757
10.0,linear,auto,0.7381756756756757
10.0,linear,0.001,0.7381756756756757
10.0,linear,0.01,0.7381756756756757
10.0,linear,0.1,0.7381756756756757
10.0,linear,1,0.7381756756756757
10.0,linear,10,0.7381756756756757
10.0,rbf,scale,0.8209459459459459
10.0,rbf,auto,0.8192567567567568
10.0,rbf,0.001,0.7347972972972973
10.0,rbf,0.01,0.785472972972973
10.0,rbf,0.1,0.8141891891891891
10.0,rbf,1,0.8192567567567568
10.0,rbf,10,0.7820945945945946
10.0,poly,scale,0.7533783783783784
10.0,poly,auto,0.7516891891891891
10.0,poly,0.001,0.4560810810810811
10.0,poly,0.01,0.47466216216216217
10.0,poly,0.1,0.7432432432432432
10.0,sigmoid,scale,0.6266891891891891
10.0,sigmoid,auto,0.6300675675675675
10.0,sigmoid,0.001,0.7331081081081081
10.0,sigmoid,0.01,0.7364864864864865
10.0,sigmoid,0.1,0.6385135135135135
10.0,sigmoid,1,0.5472972972972973
10.0,sigmoid,10,0.518581081081081
100.0,linear,scale,0.7381756756756757
100.0,linear,auto,0.7381756756756757
100.0,linear,0.001,0.7381756756756757
100.0,linear,0.01,0.7381756756756757
100.0,linear,0.1,0.7381756756756757
100.0,linear,1,0.7381756756756757
100.0,linear,10,0.7381756756756757
100.0,rbf,scale,0.8277027027027027
100.0,rbf,auto,0.8277027027027027
100.0,rbf,0.001,0.75
100.0,rbf,0.01,0.7989864864864865
100.0,rbf,0.1,0.8192567567567568
100.0,rbf,1,0.8108108108108109
100.0,rbf,10,0.777027027027027
100.0,poly,scale,0.7516891891891891
100.0,poly,auto,0.75
100.0,poly,0.001,0.4560810810810811
100.0,poly,0.01,0.5540540540540541
100.0,poly,0.1,0.7516891891891891
100.0,sigmoid,scale,0.625
100.0,sigmoid,auto,0.6233108108108109
100.0,sigmoid,0.001,0.7347972972972973
100.0,sigmoid,0.01,0.7280405405405406
100.0,sigmoid,0.1,0.6317567567567568
100.0,sigmoid,1,0.5489864864864865
100.0,sigmoid,10,0.518581081081081
